,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency
bacterial_spot,25,1,0,0,1
cercospora_leaf_spot,2,27,0,0,0
curl_virus,0,0,97,0,0
healthy,0,0,0,99,0
nutrient_deficiency,0,0,0,0,77
