,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,255,0,2,2,0,0
cercospora_leaf_spot,0,324,1,1,0,0
curl_virus,4,5,312,3,4,0
healthy,1,3,0,282,0,0
nutrient_deficiency,0,3,4,0,207,0
powdery_mildew,0,0,0,0,0,174
