,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency
bacterial_spot,798,46,0,62,374
cercospora_leaf_spot,299,370,0,900,114
curl_virus,56,22,0,621,883
healthy,26,4,0,959,492
nutrient_deficiency,52,17,0,28,970
