,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,148,19,14,0
healthy,19,38,11,0
nutrient_deficiency,20,4,39,0
powdery_mildew,2,1,0,17
