,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,444,75,314,66
healthy,130,63,119,17
nutrient_deficiency,70,30,157,10
powdery_mildew,40,12,0,110
