epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.48030176026823135,0.6067559884323538,0.48688788229119184,0.6067559884323538,0.48403616518696735,0.833519256264422,0.34542372235882635,,1.139126219247517,0.7142857142857143,0.7476660474724799,0.6826540898617512,0.7476660474724799,0.7089319923371646,0.8928688408522176,0.5690514809226892,,1.0154967129230499
2,0.00019999999999999998,0.6948868398994132,0.7765122917603723,0.6796355347462189,0.7765122917603723,0.7059057417981043,0.8995304107672425,0.5844471797244194,,0.859345406293869,0.7819548872180451,0.8032508736052513,0.8173272357723578,0.8032508736052513,0.7970434204521026,0.9177924100821298,0.6723682172900516,,0.9578217983245849
3,0.0003,0.7954735959765298,0.8489517297546552,0.7767962681895036,0.8489517297546552,0.8009108950088033,0.9331475999386006,0.7106922963402281,,0.7739967201885424,0.7142857142857143,0.6956318696193622,0.6863863287250385,0.6956318696193622,0.6853597288379897,0.8928040749149222,0.5520554270355865,,1.0485786497592926
4,0.0003,0.8575020955574183,0.8908545751837528,0.8312604612237308,0.8908545751837528,0.8567195732251096,0.9504360612183806,0.7874612995599487,,0.6951173826267845,0.6917293233082706,0.7609809785211811,0.7348098813993682,0.7609809785211811,0.7217490842490843,0.902010761823846,0.5837782919160612,,1.052717936038971
5,0.0002994311073647159,0.8960603520536463,0.9273700156202166,0.8710386903051843,0.9273700156202166,0.8951258987830742,0.9661310720027214,0.8458434722970299,,0.6366810830015885,0.8195488721804511,0.7745307105045044,0.8576704545454545,0.7745307105045044,0.8074517781796262,0.9130026904559615,0.702771633632715,,0.9387436270713806
6,0.0002977287590753251,0.9103101424979044,0.9350409893211541,0.8836135693185857,0.9350409893211541,0.9066221116673456,0.9692073570068254,0.864055102738372,,0.60918889939785,0.7969924812030075,0.8187992769588959,0.7747395833333334,0.8187992769588959,0.7927122432240069,0.9251249471890655,0.691406978874577,,0.911426591873169
7,0.00029490591103021566,0.9253981559094719,0.9491336153871534,0.9033788012971331,0.9491336153871534,0.9237351003216425,0.9758746805011462,0.8878725371290251,,0.5949959103998385,0.7443609022556391,0.7824452200568937,0.7084209789192727,0.7824452200568937,0.7361952861952863,0.9097903928204985,0.6236691396350948,,0.9312419176101685
8,0.00029098404680749326,0.9362950544844929,0.9529633087633914,0.9150464903878284,0.9529633087633914,0.9325532260414815,0.9789790986544762,0.9026349962223971,,0.5866397556505705,0.8571428571428571,0.8635947138031712,0.8741037131882202,0.8635947138031712,0.8632917789757413,0.9415392240158595,0.7754885667099781,0.9613172311541985,0.8643164873123169
9,0.00028599301416197916,0.9513830678960603,0.9636910555378992,0.9375123128150161,0.9636910555378992,0.950008379866867,0.9826981557966807,0.9243985054408865,,0.5690765067150718,0.8270676691729323,0.8498159077372895,0.8424075531077891,0.8498159077372895,0.8329864152842286,0.9391956952704617,0.7464326091842296,,0.8594126343727112
10,0.00027997079786577355,0.961441743503772,0.9747257617590974,0.945402262669627,0.9747257617590974,0.9593238067037323,0.9873939903744349,0.9404138621145927,,0.5495149697128096,0.8195488721804511,0.8191199806744774,0.848769305019305,0.8191199806744774,0.8213453213453212,0.9275807136788445,0.7192512737225165,,0.9446476817131042
11,0.0002729632306212043,0.9740150880134115,0.9790990071640446,0.9643880801855089,0.9790990071640446,0.971512272220573,0.991348951387059,0.9592001457233171,,0.5396579723609122,0.7443609022556391,0.7700637658946177,0.7597222222222222,0.7700637658946177,0.754981874257117,0.9107901444350043,0.6220411134885951,,0.9820602416992188
12,0.00026502364424628715,0.9664710813076278,0.9757643542371983,0.9549573873331326,0.9757643542371983,0.9648600643823126,0.9890492219801497,0.9479357160014731,,0.5402681278555017,0.8571428571428571,0.8114803600211582,0.8999169435215947,0.8114803600211582,0.8394722371473459,0.9268985240794647,0.7695630460818674,,0.8783819079399109
13,0.00025621246378738883,0.9832355406538139,0.9902388235605699,0.9768576475131127,0.9902388235605699,0.9833377557212026,0.9947171238659316,0.9737792139121657,,0.5187472457948484,0.8270676691729323,0.832497907095882,0.816403162055336,0.832497907095882,0.823272639791317,0.9322895339173874,0.7285348677380865,,0.8441589772701263
