,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,137,12,6,6
healthy,16,46,3,1
nutrient_deficiency,18,5,37,0
powdery_mildew,0,1,0,43
