,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency
bacterial_spot,128,1,16,1,1
cercospora_leaf_spot,114,6,52,2,1
curl_virus,280,4,137,0,2
healthy,15,4,131,256,52
nutrient_deficiency,24,10,126,15,269
