class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,bacterial_spot,1280,0.35595203275811643,0.95078125,0.6211938757956305,0.5179825494786124,0.9425924382848787,1217,2202,63,3611
1,cercospora_leaf_spot,1683,0.7781954887218046,0.12299465240641712,0.98909426987061,0.2124166239096973,0.8532741792174217,207,59,1476,5351
2,curl_virus,1582,0.75,0.0037926675094816687,0.9996370894574488,0.007547169811320755,0.7821439066471125,6,2,1576,5509
3,healthy,1481,0.42970559047304,0.8771100607697502,0.6928011404133999,0.5768206039076377,0.9016411490184773,1299,1724,182,3888
4,nutrient_deficiency,1067,0.8488063660477454,0.29990627928772257,0.990540989047461,0.44321329639889195,0.7939991215821725,320,57,747,5969
